model_name,actual_aqi,predicted_aqi,error
Linear Regression (Baseline),51.0,42.95734758591749,-8.04265241408251
Linear Regression (Baseline),68.0,96.83877378704189,28.838773787041887
Linear Regression (Baseline),199.0,313.4696669961436,114.46966699614359
Linear Regression (Baseline),468.0,446.98386057584514,-21.016139424154858
Linear Regression (Baseline),84.0,77.72104673495119,-6.278953265048813
Linear Regression (Baseline),150.0,100.40193981698637,-49.59806018301363
Linear Regression (Baseline),78.0,77.61413624667672,-0.38586375332327805
Linear Regression (Baseline),98.0,133.69674854923863,35.696748549238634
Linear Regression (Baseline),116.0,120.13782651038458,4.137826510384585
Linear Regression (Baseline),100.0,93.23944459559551,-6.760555404404485
Linear Regression (Baseline),94.0,76.8325838527749,-17.167416147225097
Linear Regression (Baseline),62.0,66.60417421454217,4.604174214542169
Linear Regression (Baseline),211.0,157.22409847857068,-53.77590152142932
Linear Regression (Baseline),98.0,135.35972899842739,37.359728998427386
Linear Regression (Baseline),93.0,219.92851698821462,126.92851698821462
Linear Regression (Baseline),217.0,210.10818310409093,-6.8918168959090735
Linear Regression (Baseline),63.0,104.03482599704886,41.034825997048856
Linear Regression (Baseline),55.0,77.03226620415938,22.032266204159384
Linear Regression (Baseline),330.0,299.1996943570023,-30.800305642997728
Linear Regression (Baseline),122.0,132.5839422841987,10.583942284198713
Linear Regression (Baseline),713.0,589.5139016423288,-123.48609835767115
Linear Regression (Baseline),197.0,170.34278124786368,-26.657218752136316
Linear Regression (Baseline),48.0,69.70741751326312,21.707417513263124
Linear Regression (Baseline),191.0,177.0037413715975,-13.9962586284025
Linear Regression (Baseline),88.0,92.94815321701101,4.948153217011011
Linear Regression (Baseline),236.0,228.30170902756782,-7.698290972432176
Linear Regression (Baseline),91.0,102.22613943906666,11.226139439066657
Linear Regression (Baseline),83.0,104.85168748763947,21.851687487639467
Linear Regression (Baseline),69.0,74.34145639841316,5.341456398413158
Linear Regression (Baseline),93.0,125.58395004185945,32.58395004185945
Linear Regression (Baseline),274.0,224.24366598571353,-49.756334014286466
Linear Regression (Baseline),69.0,73.52249714490186,4.5224971449018625
Linear Regression (Baseline),102.0,105.73520419585702,3.7352041958570226
Linear Regression (Baseline),164.0,141.07378824861811,-22.926211751381885
Linear Regression (Baseline),203.0,135.84120263548897,-67.15879736451103
Linear Regression (Baseline),106.0,83.68426430593516,-22.31573569406484
Linear Regression (Baseline),109.0,143.4118385667652,34.4118385667652
Linear Regression (Baseline),296.0,202.15305085468916,-93.84694914531084
Linear Regression (Baseline),368.0,381.2387887366848,13.238788736684796
Linear Regression (Baseline),78.0,118.64870530899265,40.648705308992646
Linear Regression (Baseline),308.0,249.58578380826665,-58.414216191733345
Linear Regression (Baseline),100.0,100.72463921507263,0.724639215072628
Linear Regression (Baseline),141.0,141.85663503051927,0.8566350305192714
Linear Regression (Baseline),28.0,48.64785295756651,20.647852957566514
Linear Regression (Baseline),125.0,127.3623562518304,2.3623562518304055
Linear Regression (Baseline),228.0,119.4251345759474,-108.5748654240526
Linear Regression (Baseline),100.0,108.73992018670532,8.73992018670532
Linear Regression (Baseline),70.0,88.95294006079386,18.952940060793864
Linear Regression (Baseline),79.0,100.28405483508094,21.284054835080937
Linear Regression (Baseline),343.0,354.9028134755931,11.90281347559312
Linear Regression (Baseline),110.0,171.5024167370118,61.5024167370118
Linear Regression (Baseline),67.0,79.31612797154527,12.31612797154527
Linear Regression (Baseline),75.0,64.91900196165491,-10.080998038345086
Linear Regression (Baseline),408.0,290.5091048876401,-117.49089511235991
Linear Regression (Baseline),297.0,264.16165221241334,-32.838347787586656
Linear Regression (Baseline),127.0,100.02522156056423,-26.974778439435767
Linear Regression (Baseline),306.0,257.1739511061238,-48.82604889387619
Linear Regression (Baseline),356.0,402.8990111232181,46.89901112321809
